location_term,region_code,Level
jawa tengah,jawa tengah,Provinsi
jateng,jawa tengah,Provinsi
jawatengah,jawa tengah,Provinsi
diy,diy,Provinsi
yogyakarta,diy,Provinsi
jogja,diy,Provinsi
jogjakarta,diy,Provinsi
yk,diy,Provinsi
semarang,semarang,Kabupaten/Kota
kabupaten semarang,semarang,Kabupaten/Kota
kab. semarang,semarang,Kabupaten/Kota
kab semarang,semarang,Kabupaten/Kota
banyumas,banyumas,Kabupaten/Kota
baturaden,banyumas,Kabupaten/Kota
gunungkidul,gunungkidul,Kabupaten/Kota
gunung kidul,gunungkidul,Kabupaten/Kota
gunkid,gunungkidul,Kabupaten/Kota
bantul,bantul,Kabupaten/Kota
sleman,sleman,Kabupaten/Kota
kendal,kendal,Kabupaten/Kota
ungaran,ungaran,Kabupaten/Kota
karanganyar,karanganyar,Kabupaten/Kota
karang anyar,karanganyar,Kabupaten/Kota
banjarnegara,banjarnegara,Kabupaten/Kota
banjar,banjarnegara,Kabupaten/Kota
jepara,jepara,Kabupaten/Kota
wonosobo,wonosobo,Kabupaten/Kota
kulon progo,kulonprogo,Kabupaten/Kota
kulonprogo,kulonprogo,Kabupaten/Kota
kudus,kudus,Kabupaten/Kota
karimun jawa,karimunjawa,Tempat
kebumen,kebumen,Kabupaten/Kota